n,probability,1/sqrt(ln(n)),ratio,original_success,inverted_success,both_success,none_success
1,1,1,1,1,1,1,0
2,1,1.20112,0.832555,1,1,1,0
3,0.74798,0.954065,0.783993,0.74708,0.74888,0.49596,0
4,0.74869,0.849322,0.881515,0.75082,0.74656,0.49738,0
5,0.74987,0.788248,0.951312,0.75016,0.74958,0.49974,0
6,0.75254,0.747068,1.00732,0.75168,0.7534,0.50508,0
7,0.62471,0.716867,0.871445,0.6244,0.62502,0.24942,0
8,0.62583,0.693468,0.902464,0.62426,0.6274,0.25166,0
9,0.62437,0.674626,0.925506,0.6248,0.62394,0.24874,0
10,0.6242,0.65901,0.947178,0.62556,0.62284,0.2484,0
11,0.59357,0.64578,0.919151,0.59348,0.59366,0.18714,0
12,0.59313,0.634373,0.934986,0.59482,0.59144,0.18626,0
13,0.57733,0.624397,0.924621,0.57438,0.58028,0.15466,0
14,0.57649,0.615567,0.936518,0.57866,0.57432,0.15298,0
15,0.5464,0.607675,0.899164,0.54648,0.54632,0.0928,0
16,0.54586,0.600561,0.908917,0.5461,0.54562,0.09172,0
17,0.54688,0.594101,0.920517,0.54388,0.54988,0.09376,0
18,0.5477,0.588197,0.93115,0.54548,0.54992,0.0954,0
19,0.53673,0.582772,0.920995,0.53544,0.53802,0.08086,0.0074
20,0.53528,0.577761,0.926472,0.53618,0.53438,0.07878,0.00822
21,0.5304,0.573113,0.925472,0.53244,0.52836,0.0767,0.0159
22,0.5307,0.568784,0.933043,0.5334,0.528,0.07642,0.01502
23,0.51565,0.564738,0.913078,0.51574,0.51556,0.0617,0.0304
24,0.51661,0.560944,0.920966,0.51674,0.51648,0.06398,0.03076
25,0.51684,0.557376,0.927274,0.51878,0.5149,0.06394,0.03026
26,0.51622,0.554011,0.931787,0.51804,0.5144,0.0639,0.03146
27,0.51283,0.550829,0.931014,0.51166,0.514,0.0645,0.03884
28,0.51097,0.547815,0.932741,0.51002,0.51192,0.06134,0.0394
29,0.5093,0.544953,0.934575,0.50816,0.51044,0.05878,0.04018
30,0.50987,0.542231,0.940319,0.50852,0.51122,0.06028,0.04054
31,0.49798,0.539636,0.922808,0.49766,0.4983,0.0486,0.05264
32,0.49854,0.537158,0.928106,0.4956,0.50148,0.04738,0.0503
33,0.49708,0.534789,0.929487,0.50134,0.49282,0.04724,0.05308
34,0.49789,0.532521,0.934968,0.50128,0.4945,0.04684,0.05106
35,0.48518,0.530346,0.914837,0.4846,0.48576,0.03162,0.06126
36,0.48624,0.528257,0.920461,0.48434,0.48814,0.03202,0.05954
37,0.4849,0.526249,0.921427,0.48618,0.48362,0.03254,0.06274
38,0.48461,0.524316,0.92427,0.48546,0.48376,0.0308,0.06158
39,0.48221,0.522454,0.922971,0.48226,0.48216,0.02752,0.0631
40,0.48198,0.520658,0.925713,0.48208,0.48188,0.02834,0.06438
41,0.47655,0.518924,0.918342,0.4731,0.48,0.0226,0.0695
42,0.47492,0.517249,0.918165,0.47484,0.475,0.02286,0.07302
43,0.46894,0.515628,0.909454,0.46958,0.4683,0.02026,0.08238
44,0.4689,0.51406,0.912151,0.4689,0.4689,0.02036,0.08256
45,0.46165,0.51254,0.90071,0.46252,0.46078,0.01508,0.09178
46,0.46089,0.511067,0.90182,0.4604,0.46138,0.01594,0.09416
47,0.45398,0.509637,0.89079,0.45412,0.45384,0.01322,0.10526
48,0.45488,0.50825,0.894993,0.45598,0.45378,0.0126,0.10284
49,0.45616,0.506902,0.899899,0.46208,0.45024,0.01256,0.10024
50,0.45496,0.505591,0.899858,0.45696,0.45296,0.0129,0.10298
51,0.45439,0.504316,0.901002,0.45524,0.45354,0.0131,0.10432
52,0.45368,0.503075,0.901813,0.45374,0.45362,0.01324,0.10588
53,0.45242,0.501867,0.901474,0.45554,0.4493,0.01124,0.1064
54,0.45353,0.50069,0.90581,0.45644,0.45062,0.01136,0.1043
55,0.44862,0.499542,0.898062,0.44744,0.4498,0.01076,0.11352
56,0.44659,0.498423,0.896006,0.44434,0.44884,0.00894,0.11576
57,0.44428,0.497331,0.893329,0.44268,0.44588,0.00896,0.1204
58,0.44469,0.496265,0.896074,0.44734,0.44204,0.00978,0.1204
59,0.43942,0.495223,0.887317,0.43548,0.44336,0.00718,0.12834
60,0.43955,0.494206,0.889407,0.4357,0.4434,0.00842,0.12932
61,0.43446,0.493211,0.88088,0.43282,0.4361,0.00598,0.13706
62,0.4354,0.492239,0.88453,0.43438,0.43642,0.00576,0.13496
63,0.43226,0.491287,0.879852,0.43228,0.43224,0.00452,0.14
64,0.43194,0.490356,0.88087,0.4298,0.43408,0.00542,0.14154
65,0.4322,0.489445,0.883042,0.4326,0.4318,0.00566,0.14126
66,0.43115,0.488552,0.882506,0.43468,0.42762,0.00568,0.14338
67,0.42847,0.487678,0.878593,0.43042,0.42652,0.00472,0.14778
68,0.43041,0.486821,0.884124,0.42952,0.4313,0.00446,0.14364
69,0.42696,0.485981,0.878553,0.42658,0.42734,0.00404,0.15012
70,0.42846,0.485157,0.883137,0.42696,0.42996,0.00376,0.14684
71,0.42496,0.484349,0.877383,0.42666,0.42326,0.00388,0.15396
72,0.42564,0.483557,0.880228,0.42338,0.4279,0.00418,0.1529
73,0.42449,0.482779,0.879264,0.42108,0.4279,0.00352,0.15454
74,0.42389,0.482015,0.879412,0.42454,0.42324,0.00346,0.15568
75,0.42192,0.481265,0.876689,0.4223,0.42154,0.00348,0.15964
76,0.42277,0.480529,0.879802,0.4217,0.42384,0.00346,0.15792
77,0.42057,0.479805,0.876543,0.426,0.41514,0.00228,0.16114
78,0.42047,0.479094,0.877636,0.41936,0.42158,0.00256,0.16162
79,0.41733,0.478395,0.872354,0.4161,0.41856,0.0022,0.16754
80,0.41902,0.477708,0.877147,0.41796,0.42008,0.00248,0.16444
81,0.41877,0.477032,0.877865,0.41986,0.41768,0.00244,0.1649
82,0.41935,0.476368,0.880307,0.4177,0.421,0.00218,0.16348
83,0.41805,0.475714,0.878785,0.41514,0.42096,0.00236,0.16626
84,0.41768,0.475071,0.879196,0.41712,0.41824,0.00198,0.16662
85,0.41837,0.474437,0.881823,0.42262,0.41412,0.00198,0.16524
86,0.41739,0.473814,0.880915,0.4147,0.42008,0.0021,0.16732
87,0.41354,0.4732,0.873921,0.41648,0.4106,0.00182,0.17474
88,0.4159,0.472596,0.880033,0.41182,0.41998,0.00206,0.17026
89,0.41389,0.472001,0.876884,0.41264,0.41514,0.00142,0.17364
90,0.41315,0.471414,0.876405,0.4171,0.4092,0.00154,0.17524
91,0.41427,0.470837,0.879859,0.413,0.41554,0.00178,0.17324
92,0.4122,0.470267,0.876523,0.4092,0.4152,0.00172,0.17732
93,0.4105,0.469706,0.87395,0.4098,0.4112,0.0013,0.1803
94,0.41046,0.469153,0.874896,0.4107,0.41022,0.00138,0.18046
95,0.41091,0.468608,0.876874,0.4099,0.41192,0.00116,0.17934
96,0.40777,0.46807,0.871173,0.40838,0.40716,0.00124,0.1857
97,0.40724,0.467539,0.871028,0.40732,0.40716,0.00108,0.1866
98,0.40498,0.467016,0.867165,0.40282,0.40714,0.00082,0.19086
99,0.40315,0.4665,0.864202,0.40426,0.40204,0.00094,0.19464
100,0.40443,0.465991,0.867893,0.4029,0.40596,0.00098,0.19212
101,0.40523,0.465488,0.870549,0.40378,0.40668,0.00062,0.19016
102,0.40535,0.464992,0.871736,0.40702,0.40368,0.0008,0.1901
103,0.40508,0.464502,0.872073,0.4045,0.40566,0.00076,0.1906
104,0.40379,0.464019,0.870202,0.40104,0.40654,0.00088,0.1933
105,0.40092,0.463542,0.864906,0.40048,0.40136,0.00084,0.199
106,0.40382,0.46307,0.872049,0.40414,0.4035,0.00092,0.19328
107,0.39898,0.462605,0.862464,0.39716,0.4008,0.00062,0.20266
108,0.39962,0.462145,0.864707,0.4014,0.39784,0.00062,0.20138
109,0.40025,0.461691,0.866922,0.39672,0.40378,0.00078,0.20028
110,0.40027,0.461242,0.867809,0.39694,0.4036,0.00068,0.20014
111,0.40006,0.460799,0.868188,0.39602,0.4041,0.0007,0.20058
112,0.39845,0.460361,0.865517,0.396,0.4009,0.00038,0.20348
113,0.39824,0.459928,0.865876,0.3976,0.39888,0.00056,0.20408
114,0.39729,0.4595,0.864615,0.3961,0.39848,0.00074,0.20616
115,0.39789,0.459076,0.866718,0.39858,0.3972,0.0007,0.20492
116,0.3968,0.458658,0.865132,0.39424,0.39936,0.00038,0.20678
117,0.39505,0.458245,0.862094,0.39808,0.39202,0.00056,0.21046
118,0.39425,0.457836,0.861117,0.39296,0.39554,0.00052,0.21202
119,0.39445,0.457431,0.862315,0.395,0.3939,0.00062,0.21172
120,0.3931,0.457031,0.860116,0.39056,0.39564,0.00044,0.21424
121,0.39514,0.456636,0.865329,0.39732,0.39296,0.0006,0.21032
122,0.39642,0.456244,0.868876,0.3973,0.39554,0.00052,0.20768
123,0.39487,0.455857,0.866214,0.39622,0.39352,0.00032,0.21058
124,0.39504,0.455474,0.867316,0.39638,0.3937,0.00042,0.21034
125,0.39326,0.455095,0.864127,0.38972,0.3968,0.00034,0.21382
126,0.39408,0.45472,0.866643,0.39486,0.3933,0.00042,0.21226
127,0.39388,0.454349,0.866911,0.3923,0.39546,0.0004,0.21264
128,0.39174,0.453982,0.862898,0.39078,0.3927,0.00034,0.21686
129,0.39266,0.453618,0.865618,0.3938,0.39152,0.00038,0.21506
130,0.39355,0.453258,0.868269,0.3933,0.3938,0.0006,0.2135
131,0.3914,0.452902,0.864205,0.39138,0.39142,0.00028,0.21748
132,0.39224,0.452549,0.866735,0.3913,0.39318,0.00048,0.216
133,0.3899,0.452199,0.86223,0.39018,0.38962,0.00052,0.22072
134,0.39028,0.451854,0.863731,0.39166,0.3889,0.00036,0.2198
135,0.38969,0.451511,0.86308,0.38978,0.3896,0.00044,0.22106
136,0.38928,0.451172,0.86282,0.38798,0.39058,0.0005,0.22194
137,0.3896,0.450836,0.864173,0.39074,0.38846,0.00044,0.22124
138,0.39021,0.450503,0.866165,0.38928,0.39114,0.00042,0.22
139,0.38781,0.450173,0.861469,0.38864,0.38698,0.00028,0.22466
140,0.39024,0.449846,0.867496,0.39204,0.38844,0.00042,0.21994
141,0.38794,0.449523,0.863004,0.39194,0.38394,0.00036,0.22448
142,0.38992,0.449202,0.868028,0.3903,0.38954,0.00046,0.22062
143,0.38676,0.448885,0.861602,0.38936,0.38416,0.00028,0.22676
144,0.38596,0.44857,0.860424,0.3885,0.38342,0.00038,0.22846
145,0.3884,0.448258,0.866466,0.39174,0.38506,0.0005,0.2237
146,0.38476,0.447949,0.858938,0.38536,0.38416,0.00024,0.23072
147,0.38533,0.447642,0.860799,0.38848,0.38218,0.00036,0.2297
148,0.38605,0.447338,0.862993,0.38688,0.38522,0.00034,0.22824
149,0.38642,0.447037,0.864402,0.38048,0.39236,0.00032,0.22748
150,0.38538,0.446739,0.862652,0.38688,0.38388,0.0004,0.22964
151,0.3865,0.446443,0.865732,0.3846,0.3884,0.00044,0.22744
152,0.38508,0.446149,0.863119,0.38338,0.38678,0.00032,0.23016
153,0.3833,0.445859,0.85969,0.3816,0.385,0.0003,0.2337
154,0.38177,0.44557,0.856812,0.38296,0.38058,0.00036,0.23682
155,0.3833,0.445284,0.860799,0.38466,0.38194,0.00014,0.23354
156,0.38309,0.445001,0.860875,0.38392,0.38226,0.0003,0.23412
157,0.38192,0.444719,0.858789,0.38296,0.38088,0.0003,0.23646
158,0.38122,0.44444,0.857753,0.37858,0.38386,0.0002,0.23776
159,0.38129,0.444164,0.858445,0.3827,0.37988,0.00018,0.2376
160,0.38187,0.443889,0.860282,0.38256,0.38118,0.00016,0.23642
161,0.38076,0.443617,0.858308,0.37714,0.38438,0.0001,0.23858
162,0.38075,0.443347,0.858808,0.37986,0.38164,0.00016,0.23866
163,0.38139,0.443079,0.860772,0.38502,0.37776,0.00024,0.23746
164,0.37821,0.442813,0.854107,0.3757,0.38072,0.00018,0.24376
165,0.38031,0.44255,0.859361,0.37952,0.3811,0.00018,0.23956
166,0.37874,0.442288,0.85632,0.37754,0.37994,0.00012,0.24264
167,0.37854,0.442028,0.85637,0.3802,0.37688,0.00016,0.24308
168,0.37962,0.441771,0.859314,0.3828,0.37644,0.00034,0.2411
169,0.3793,0.441515,0.859087,0.37904,0.37956,0.00012,0.24152
170,0.37872,0.441261,0.858267,0.37848,0.37896,0.00012,0.24268
171,0.37759,0.44101,0.856194,0.37664,0.37854,0.00016,0.24498
172,0.37744,0.44076,0.856339,0.3773,0.37758,0.00016,0.24528
173,0.37692,0.440512,0.855641,0.37628,0.37756,0.00016,0.24632
174,0.3757,0.440266,0.853348,0.37594,0.37546,0.00028,0.24888
175,0.37865,0.440021,0.860526,0.37858,0.37872,0.0001,0.2428
176,0.37718,0.439779,0.857658,0.3768,0.37756,0.0001,0.24574
177,0.3761,0.439538,0.855671,0.3742,0.378,4e-05,0.24784
178,0.37702,0.439299,0.858231,0.37614,0.3779,0.00012,0.24608
179,0.37574,0.439062,0.855779,0.3755,0.37598,0.0002,0.24872
180,0.37764,0.438826,0.860568,0.37568,0.3796,0.0001,0.24482
181,0.37683,0.438592,0.85918,0.37434,0.37932,8e-05,0.24642
182,0.37332,0.43836,0.851628,0.37518,0.37146,0.00016,0.25352
183,0.37547,0.43813,0.856984,0.37514,0.3758,0.00014,0.2492
184,0.37522,0.437901,0.856861,0.3759,0.37454,0.00016,0.24972
185,0.37517,0.437673,0.857192,0.37558,0.37476,0.0002,0.24986
186,0.37635,0.437447,0.860332,0.3739,0.3788,0.00016,0.24746
187,0.37522,0.437223,0.858189,0.37522,0.37522,0.0002,0.24976
188,0.37296,0.437,0.853455,0.37192,0.374,8e-05,0.25416
189,0.37178,0.436779,0.851185,0.37092,0.37264,0.00012,0.25656
190,0.37326,0.43656,0.855004,0.37676,0.36976,8e-05,0.25356
191,0.37305,0.436341,0.85495,0.37372,0.37238,0.00014,0.25404
192,0.37133,0.436125,0.851431,0.3723,0.37036,0.0002,0.25754
193,0.37382,0.435909,0.857564,0.37116,0.37648,6e-05,0.25242
194,0.37346,0.435695,0.857158,0.37442,0.3725,0.00012,0.2532
195,0.37254,0.435483,0.855464,0.3694,0.37568,0.0001,0.25502
196,0.37228,0.435272,0.855282,0.3707,0.37386,0.00016,0.2556
197,0.37068,0.435062,0.852016,0.3699,0.37146,0.0001,0.25874
198,0.37253,0.434854,0.856679,0.3699,0.37516,0.00014,0.25508
199,0.37172,0.434647,0.855223,0.36918,0.37426,0.0002,0.25676
200,0.37277,0.434441,0.858045,0.371,0.37454,0.00012,0.25458
201,0.37294,0.434237,0.85884,0.3723,0.37358,0.0001,0.25422
202,0.3694,0.434034,0.851086,0.3659,0.3729,0.00016,0.26136
203,0.37134,0.433832,0.855953,0.37174,0.37094,2e-05,0.25734
204,0.37048,0.433632,0.854366,0.36794,0.37302,0.0001,0.25914
205,0.3691,0.433432,0.851575,0.3665,0.3717,0.0001,0.2619
206,0.37188,0.433234,0.858381,0.37288,0.37088,6e-05,0.2563
207,0.36961,0.433038,0.853529,0.36888,0.37034,6e-05,0.26084
208,0.3692,0.432842,0.852967,0.3714,0.367,4e-05,0.26164
209,0.37072,0.432648,0.856863,0.37094,0.3705,0.0001,0.25866
210,0.3691,0.432455,0.8535,0.36864,0.36956,0.00014,0.26194
211,0.36844,0.432263,0.852352,0.36856,0.36832,6e-05,0.26318
212,0.36827,0.432072,0.852335,0.36714,0.3694,0.00012,0.26358
213,0.3682,0.431882,0.852547,0.3653,0.3711,8e-05,0.26368
214,0.36562,0.431694,0.846943,0.36406,0.36718,6e-05,0.26882
215,0.36858,0.431506,0.854171,0.37122,0.36594,6e-05,0.2629
216,0.36852,0.43132,0.854401,0.36902,0.36802,0.0001,0.26306
217,0.36544,0.431135,0.847624,0.3637,0.36718,4e-05,0.26916
218,0.36735,0.430951,0.852418,0.36492,0.36978,4e-05,0.26534
219,0.3667,0.430768,0.851271,0.3677,0.3657,6e-05,0.26666
220,0.36795,0.430586,0.854534,0.3667,0.3692,2e-05,0.26412
221,0.36612,0.430405,0.850641,0.37024,0.362,4e-05,0.2678
222,0.36627,0.430225,0.851346,0.36866,0.36388,4e-05,0.2675
223,0.36687,0.430046,0.853095,0.36928,0.36446,2e-05,0.26628
224,0.36605,0.429868,0.85154,0.36454,0.36756,4e-05,0.26794
225,0.36364,0.429691,0.846282,0.36908,0.3582,2e-05,0.27274
226,0.36626,0.429516,0.852728,0.36394,0.36858,8e-05,0.26756
227,0.36543,0.429341,0.851142,0.36422,0.36664,2e-05,0.26916
228,0.36699,0.429167,0.855122,0.36556,0.36842,4e-05,0.26606
